Date;Platform;Users;Profiled Mentors;Profiled Mentees;Total Profiled;Total Non-Profiled;Mentees Who Initiated Relationship;Mentors Currently in Relationship;Mentors Completed Relationship;Mentors Ever in Relationship;Mentees Currently in Relationship;Mentees Completed Relationship;Mentees Ever in Relationship;No: of Active Relationships;No: of Completed Relationships;Total no. of Request Initiated;Current no. of Requests Pending;Current no. of Requests Accepted;Current no. of Requests Completed;Current no. of Requests Expired;Current no. of Requests Declined;Current no. of Requests Removed;No: of Roundtable;No: of Roundtable Users;No: of Roundtable Posts;No: of Insights;Insight Comments;Connections (Followers and Being Followed);Total Messages;Message Posts;Meetings (Upcoming);Meetings (Completed);Meetings (Deleted);Meetings (Total);Profiled;Mentees who initiated a Request;Mentors in an Active Relationship;Mentees in an Active Relationship;Mentors Completed Relationship;Mentees Completed Relationship;Mentors in either Active or Completed Relationship;Mentees in either Active or Completed Relationship;Number of Active Relationships;Number of Completed Relationships;;;;;;;
5/18/20;Company_61;162;72;73;145;17;0;57;0;57;57;0;57;57;0;;;;;;;;0;0;;15;15;63;;;;;;;89.51%;0.00%;79.17%;78.08%;0.00%;0.00%;79.17%;78.08%;57;0;;;;;;;
5/18/20;Company_62;171;78;99;136;35;12;0;14;14;0;11;11;0;15;;;;;;;;0;0;;22;5;6400.00%;;;;;;;79.53%;12.12%;0.00%;0.00%;17.95%;11.11%;17.95%;11.11%;0;15;;;;;;;
5/18/20;Company_72;3576;1829;2200;3135;441;57;4;23;26;5;22;27;5;28;;;;;;;;2;23;;24;4;139;;;;;;;87.67%;2.59%;0.22%;0.23%;1.26%;1.00%;1.42%;1.23%;5;28;;;;;;;
5/18/20;Company_75;34117;2378;2676;3293;30824;281;30;207;234;30;208;230;32;279;;;;;;;;34;296;;207;130;894;;;;;;;9.65%;10.50%;1.26%;1.12%;8.70%;7.77%;9.84%;8.59%;32;279;;;;;;;
5/18/20;Company_76;71;33;22;66;5;7;6;1;7;5;1;6;7;1;;;;;;;;4;9;;2;1;4100.00%;;;;;;;92.96%;31.82%;18.18%;22.73%;3.03%;4.55%;21.21%;27.27%;7;1;;;;;;;
5/25/20;Company_01;7;5;4;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;71.43%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
5/25/20;Company_02;4;3;4;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;1;1;;10;0;0;0;0;0;0;0;0;100.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
5/25/20;Company_08;60;22;32;50;10;9;0;11;11;1;15;16;1;16;;;;;;;;1;3;;0;0;5;0;0;0;0;0;0;83.33%;28.12%;0.00%;3.12%;50.00%;46.88%;50.00%;50.00%;1;16;;;;;;;
5/25/20;Company_09;3;1;1;2;1;0;0;0;0;0;0;0;0;0;;;;;;;;0;0;;2;0;1;0;0;0;0;0;0;66.67%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
5/25/20;Company_10;5;3;4;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;0;;10;0;1;0;0;0;0;0;0;100.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
